directory,label
imageData/Pentagon_0e18f5d4-2a8f-11ea-8123-8363a7ec19e6.png,5
imageData/Hexagon_8828bbbc-2a93-11ea-8123-8363a7ec19e6.png,2
imageData/Hexagon_204c0fce-2a95-11ea-8123-8363a7ec19e6.png,2
imageData/Triangle_ffca4d06-2a8f-11ea-8123-8363a7ec19e6.png,8
imageData/Star_1237e95e-2a85-11ea-8123-8363a7ec19e6.png,7
imageData/Triangle_431a70b4-2a94-11ea-8123-8363a7ec19e6.png,8
imageData/Octagon_c5557ba2-2a8d-11ea-8123-8363a7ec19e6.png,4
imageData/Heptagon_71fec080-2a88-11ea-8123-8363a7ec19e6.png,1
imageData/Pentagon_9b8b6384-2a94-11ea-8123-8363a7ec19e6.png,5
imageData/Hexagon_a0171bd4-2a8d-11ea-8123-8363a7ec19e6.png,2
imageData/Triangle_02a13c82-2a96-11ea-8123-8363a7ec19e6.png,8
imageData/Triangle_13171364-2a98-11ea-8123-8363a7ec19e6.png,8
imageData/Star_67f04e04-2a85-11ea-8123-8363a7ec19e6.png,7
imageData/Nonagon_2cde65f6-2a87-11ea-8123-8363a7ec19e6.png,3
imageData/Heptagon_6bc201ae-2a93-11ea-8123-8363a7ec19e6.png,1
imageData/Square_4f4683a8-2a8c-11ea-8123-8363a7ec19e6.png,6
imageData/Octagon_249b162a-2a8f-11ea-8123-8363a7ec19e6.png,4
imageData/Pentagon_7d4de4aa-2a8f-11ea-8123-8363a7ec19e6.png,5
imageData/Hexagon_e32873f0-2a97-11ea-8123-8363a7ec19e6.png,2
imageData/Square_065a585a-2a9a-11ea-8123-8363a7ec19e6.png,6
imageData/Star_68bbe2f8-2a8f-11ea-8123-8363a7ec19e6.png,7
imageData/Pentagon_87d37ea4-2a93-11ea-8123-8363a7ec19e6.png,5
imageData/Heptagon_d3c62a26-2a95-11ea-8123-8363a7ec19e6.png,1
imageData/Pentagon_70f2e94a-2a89-11ea-8123-8363a7ec19e6.png,5
imageData/Octagon_9774752e-2a99-11ea-8123-8363a7ec19e6.png,4
imageData/Octagon_d057daac-2a8a-11ea-8123-8363a7ec19e6.png,4
imageData/Nonagon_4a351e7e-2a87-11ea-8123-8363a7ec19e6.png,3
imageData/Triangle_c5e9d6de-2a93-11ea-8123-8363a7ec19e6.png,8
imageData/Nonagon_daf87f04-2a92-11ea-8123-8363a7ec19e6.png,3
imageData/Nonagon_d1bf7b2e-2a86-11ea-8123-8363a7ec19e6.png,3
imageData/Pentagon_4a966584-2a92-11ea-8123-8363a7ec19e6.png,5
imageData/Square_e964c674-2a88-11ea-8123-8363a7ec19e6.png,6
imageData/Triangle_483eaf26-2a92-11ea-8123-8363a7ec19e6.png,8
imageData/Nonagon_98c635a4-2a92-11ea-8123-8363a7ec19e6.png,3
imageData/Octagon_2efe2aae-2a98-11ea-8123-8363a7ec19e6.png,4
imageData/Pentagon_af940ee6-2a97-11ea-8123-8363a7ec19e6.png,5
imageData/Star_6b304204-2a8a-11ea-8123-8363a7ec19e6.png,7
imageData/Pentagon_0a504478-2a91-11ea-8123-8363a7ec19e6.png,5
imageData/Pentagon_bc809f62-2a87-11ea-8123-8363a7ec19e6.png,5
imageData/Square_ee3d7a86-2a85-11ea-8123-8363a7ec19e6.png,6
imageData/Nonagon_a7139b14-2a84-11ea-8123-8363a7ec19e6.png,3
imageData/Pentagon_f8d109ae-2a94-11ea-8123-8363a7ec19e6.png,5
imageData/Pentagon_c7644298-2a88-11ea-8123-8363a7ec19e6.png,5
imageData/Hexagon_78dc0ee4-2a88-11ea-8123-8363a7ec19e6.png,2
imageData/Hexagon_d04492b6-2a90-11ea-8123-8363a7ec19e6.png,2
imageData/Heptagon_a9c7277e-2a87-11ea-8123-8363a7ec19e6.png,1
imageData/Hexagon_ee869f34-2a8c-11ea-8123-8363a7ec19e6.png,2
imageData/Octagon_f0ac5804-2a90-11ea-8123-8363a7ec19e6.png,4
imageData/Nonagon_3fa36058-2a85-11ea-8123-8363a7ec19e6.png,3
imageData/Square_1006f842-2a8e-11ea-8123-8363a7ec19e6.png,6
imageData/Octagon_524ee538-2a8f-11ea-8123-8363a7ec19e6.png,4
imageData/Square_7c01c80a-2a85-11ea-8123-8363a7ec19e6.png,6
imageData/Triangle_0d8de3ac-2a8c-11ea-8123-8363a7ec19e6.png,8
imageData/Star_d7fb67de-2a84-11ea-8123-8363a7ec19e6.png,7
imageData/Heptagon_161bc374-2a8a-11ea-8123-8363a7ec19e6.png,1
imageData/Nonagon_20855ec2-2a91-11ea-8123-8363a7ec19e6.png,3
imageData/Square_870a15a0-2a98-11ea-8123-8363a7ec19e6.png,6
imageData/Octagon_cfaa5ba8-2a98-11ea-8123-8363a7ec19e6.png,4
imageData/Star_ca767da8-2a96-11ea-8123-8363a7ec19e6.png,7
imageData/Pentagon_e84eeed4-2a8f-11ea-8123-8363a7ec19e6.png,5
imageData/Square_efe1c2ee-2a8e-11ea-8123-8363a7ec19e6.png,6
imageData/Heptagon_a58cc33e-2a97-11ea-8123-8363a7ec19e6.png,1
imageData/Nonagon_6ab88e58-2a94-11ea-8123-8363a7ec19e6.png,3
imageData/Octagon_d5bb4676-2a96-11ea-8123-8363a7ec19e6.png,4
imageData/Hexagon_a2599f40-2a8b-11ea-8123-8363a7ec19e6.png,2
imageData/Hexagon_aedb8e96-2a8a-11ea-8123-8363a7ec19e6.png,2
imageData/Hexagon_b830cb1a-2a89-11ea-8123-8363a7ec19e6.png,2
imageData/Square_b88e7004-2a92-11ea-8123-8363a7ec19e6.png,6
imageData/Nonagon_26c44884-2a87-11ea-8123-8363a7ec19e6.png,3
imageData/Star_50c3ff80-2a96-11ea-8123-8363a7ec19e6.png,7
imageData/Pentagon_32ee11b0-2a98-11ea-8123-8363a7ec19e6.png,5
imageData/Octagon_270d556e-2a97-11ea-8123-8363a7ec19e6.png,4
imageData/Pentagon_0eaf2c82-2a8c-11ea-8123-8363a7ec19e6.png,5
imageData/Hexagon_ae417100-2a92-11ea-8123-8363a7ec19e6.png,2
imageData/Star_52a23660-2a8b-11ea-8123-8363a7ec19e6.png,7
imageData/Square_954e3158-2a95-11ea-8123-8363a7ec19e6.png,6
imageData/Star_27cf4d48-2a94-11ea-8123-8363a7ec19e6.png,7
imageData/Square_69de2902-2a8f-11ea-8123-8363a7ec19e6.png,6
imageData/Star_7da0203c-2a92-11ea-8123-8363a7ec19e6.png,7
imageData/Star_c0970488-2a91-11ea-8123-8363a7ec19e6.png,7
imageData/Nonagon_0b213518-2a98-11ea-8123-8363a7ec19e6.png,3
imageData/Nonagon_d7289c1e-2a98-11ea-8123-8363a7ec19e6.png,3
imageData/Octagon_71f5d3fe-2a8c-11ea-8123-8363a7ec19e6.png,4
imageData/Pentagon_7e339d48-2a93-11ea-8123-8363a7ec19e6.png,5
imageData/Pentagon_6a514128-2a83-11ea-8123-8363a7ec19e6.png,5
imageData/Star_5bb1872c-2a97-11ea-8123-8363a7ec19e6.png,7
imageData/Triangle_05281fe8-2a8c-11ea-8123-8363a7ec19e6.png,8
imageData/Square_4a901dd0-2a99-11ea-8123-8363a7ec19e6.png,6
imageData/Nonagon_2967c576-2a9a-11ea-8123-8363a7ec19e6.png,3
imageData/Triangle_93052d94-2a8f-11ea-8123-8363a7ec19e6.png,8
imageData/Octagon_073e80ae-2a98-11ea-8123-8363a7ec19e6.png,4
imageData/Pentagon_85024bc4-2a8e-11ea-8123-8363a7ec19e6.png,5
imageData/Nonagon_2fb23390-2a94-11ea-8123-8363a7ec19e6.png,3
imageData/Nonagon_e7ff506e-2a84-11ea-8123-8363a7ec19e6.png,3
imageData/Nonagon_342e2f62-2a87-11ea-8123-8363a7ec19e6.png,3
imageData/Nonagon_8b902b50-2a8e-11ea-8123-8363a7ec19e6.png,3
imageData/Pentagon_3aee9c82-2a92-11ea-8123-8363a7ec19e6.png,5
imageData/Heptagon_6521da36-2a98-11ea-8123-8363a7ec19e6.png,1
imageData/Octagon_c5fbdfda-2a95-11ea-8123-8363a7ec19e6.png,4
imageData/Square_80450094-2a85-11ea-8123-8363a7ec19e6.png,6
imageData/Hexagon_86326f2c-2a95-11ea-8123-8363a7ec19e6.png,2
imageData/Nonagon_74ee5dec-2a87-11ea-8123-8363a7ec19e6.png,3
